[2025-09-02 14:30:48.228] DEBUG 15132 --- [           main] o.a.c.u.LifecycleBase                    : Setting state for [WebappLoader[StandardEngine[Tomcat].StandardHost[localhost].TomcatEmbeddedContext[]]] to [INITIALIZED]
[2025-09-02 14:30:48.229] DEBUG 15132 --- [           main] o.a.c.u.LifecycleBase                    : Setting state for [WebappLoader[StandardEngine[Tomcat].StandardHost[localhost].TomcatEmbeddedContext[]]] to [STARTING_PREP]
[2025-09-02 14:30:48.231] DEBUG 15132 --- [           main] o.a.c.l.WebappLoader                     : Starting this Loader
[2025-09-02 14:30:48.443] DEBUG 15132 --- [           main] o.a.c.w.Cache                            : Increased cache size by [531] for item [org.apache.catalina.webresources.CachedResource@6bfaa0a6] at [/WEB-INF/classes] making total cache size [531]
[2025-09-02 14:30:48.455] DEBUG 15132 --- [           main] o.a.c.u.LifecycleBase                    : Setting state for [WebappLoader[StandardEngine[Tomcat].StandardHost[localhost].TomcatEmbeddedContext[]]] to [STARTING]
[2025-09-02 14:30:48.460] DEBUG 15132 --- [           main] o.a.c.u.LifecycleBase                    : Setting state for [WebappLoader[StandardEngine[Tomcat].StandardHost[localhost].TomcatEmbeddedContext[]]] to [STARTED]
[2025-09-02 14:30:48.467] DEBUG 15132 --- [           main] o.a.c.u.LifecycleBase                    : Setting state for [StandardPipeline[StandardEngine[Tomcat].StandardHost[localhost].TomcatEmbeddedContext[]]] to [INITIALIZING]
[2025-09-02 14:30:48.468] DEBUG 15132 --- [           main] o.a.c.u.LifecycleBase                    : Setting state for [StandardPipeline[StandardEngine[Tomcat].StandardHost[localhost].TomcatEmbeddedContext[]]] to [INITIALIZED]
[2025-09-02 14:30:48.468] DEBUG 15132 --- [           main] o.a.c.u.LifecycleBase                    : Setting state for [StandardPipeline[StandardEngine[Tomcat].StandardHost[localhost].TomcatEmbeddedContext[]]] to [STARTING_PREP]
[2025-09-02 14:30:48.468] DEBUG 15132 --- [           main] o.a.c.u.LifecycleBase                    : Setting state for [NonLoginAuthenticator[StandardEngine[Tomcat].StandardHost[localhost].TomcatEmbeddedContext[]]] to [INITIALIZING]
[2025-09-02 14:30:48.469] DEBUG 15132 --- [           main] o.a.c.u.LifecycleBase                    : Setting state for [NonLoginAuthenticator[StandardEngine[Tomcat].StandardHost[localhost].TomcatEmbeddedContext[]]] to [INITIALIZED]
[2025-09-02 14:30:48.470] DEBUG 15132 --- [           main] o.a.c.u.LifecycleBase                    : Setting state for [NonLoginAuthenticator[StandardEngine[Tomcat].StandardHost[localhost].TomcatEmbeddedContext[]]] to [STARTING_PREP]
[2025-09-02 14:30:48.550] DEBUG 15132 --- [           main] o.a.c.u.LifecycleBase                    : Setting state for [NonLoginAuthenticator[StandardEngine[Tomcat].StandardHost[localhost].TomcatEmbeddedContext[]]] to [STARTING]
[2025-09-02 14:30:48.551] DEBUG 15132 --- [           main] o.a.c.u.LifecycleBase                    : Setting state for [NonLoginAuthenticator[StandardEngine[Tomcat].StandardHost[localhost].TomcatEmbeddedContext[]]] to [STARTED]
